time,aFRR_UpActivatedPriceEUR,aFRR_UP_Price_prediction
2025-03-25 13:07:00,2681.18,72.43703243295673
2025-03-25 13:08:00,2681.18,75.15148282317105
2025-03-25 13:09:00,2681.18,79.17530280409811
2025-03-25 13:10:00,2681.18,83.58329367864714
2025-03-25 13:11:00,2681.18,85.12758124216906
2025-03-25 13:12:00,2681.18,84.0954354991173
2025-03-25 13:13:00,2516.0429999999997,80.87343599938242
2025-03-25 13:14:00,1447.8236666666667,78.49059664647207
2025-03-25 13:15:00,804.2700000000001,78.2439767929054
2025-03-25 13:16:00,804.2700000000001,77.7374668466625
2025-03-25 13:17:00,804.2700000000001,78.45929703681492
2025-03-25 13:18:00,804.2700000000001,77.65751887893158
2025-03-25 13:19:00,804.2700000000001,77.24657514785433
2025-03-25 13:20:00,804.2700000000001,77.65535272069798
